SN,Company,Vertical,Sub-vertical,Domain,Address,City,PinCode,"Founder edu: 1 others, 2: NIT, 3 : IIT, IIM, MS; ",Founder exp total,Dt of incorporation,Period wef incorporation yrs,Team no,Team tot man yrs exp,Innovation Quotion: 1-5,Awards,Awards details,"Stage: seed 1, POC 2, pilot 3, growth 4",Stage,Money Raised in M$,L Dt money recd,IP Filed/2 + Granted,No. of paid clients,Revenue Rs. Lakhs,Total Rating
194,XENOPS Technologies Pvt. Ltd. (Moovlee),Smart Cities,,Intelligent urban transport,"Xenops Technologies Pvt Ltd
Lower Ground Floor, DD3, Diamond District
Domlur",Bangalore,560008,2,16,10-May-16,5.4,7,40,3,,,3,Early Traction,,,,7,,6.9
195,Inferigence Quotient,Surveillance,,,"113, Bhuvaneshwari Nagar Main Road, CV Raman Nagar Post,

Email: admin@inferq.com

Website: www.inferq.com",Bangalore,560093,2,30,19-Sep-17,4.1,11,70,4,,,1,Seed,,,,,,9.7
196,Inferigence Quotient LLP,Health,Pets,"Computer Vision, Machine Learning, Thermal Imaging,","474, 8th Main, NGEF Layout, Sadanand Nagar",Bangalore,560038,3,80,19-Sep-17,4.1,8,150,4,0,NA,2,"Image preprocessing and machine learning models developed, to be matured; app developed",0,,0,2,55,21.6
197,Videonetics Technology Pvt Ltd,IoT Platform,Computer vision,IOT > Computer Vision > Video Analytics,"5th Floor, 91 Springboard
175 & 176, Bannerghatta Main Road, Dollars Colony,",Bangalore,560076,1,33,16-Sep-08,13.1,54,245,4,6,"NASSCOM Technology Excellence Award 2019
IHSMarkit Logo	Ranked Amongst Top 5 VMS Providers in Asia Market
Fist	Indian OEM of the Year
Deloitte	Ranked Amongst Fastest Growing Companies in Asia Pacific by Deloitte
Deloitte	Fastest Growing Technology Enterprise of the Year
IE20	Global Emerging Indian Enterprise of the Year - 2018",4,Growth,,,,,,26.8
198,Nvincy Solutions Pvt Ltd,Enterprise Solutions,Enterprise Solutions,Enterprise Solution > Digital Signage,"#211, 1st Floor, 4th A Main, OMBR Layout, Kalyan Nagar Extension",Bangalore,560043,3,37,24-May-17,4.4,9,65,3,,,3,Early Tarction,,,,,,10.1
199,Smarterhomes Technologies Pvt Ltd,Water Management,Analytics,Water Management > Analytics,"240A, 2nd Floor, 27th Main,
Sector 2, HSR Layout",Bangalore,560102,1,50,20-Feb-14,7.7,43,214,4,9,Media Coverage,3,Early Tarction,,,,,,25.2
200,Iot Research Labs Pvt Ltd,logistics,Analytics,Logistics > Fleet Management > Fuel level,"5/1, Penthouse 01, 6th Floor,
Rich Homes Apt., Richmond Road",Bangalore,560025,1,5,25-Jun-15,6.3,14,57,4,2,Media Coverage,3,Early Tarction,,,,,,7.0
201,Elvago Technologies Pvt Ltd (CodeMonk),Enterprise Solutions,Enterprise Solutions,Enterprise Solution > No coding Platform,"IKP EDEN, #16, Tavarekere Main Road, Near Kormangala Forum, Suddagunte Palya,",Bangalore,560029,1,9,18-Jun-18,3.3,7,21,4,,,3,Early Tarction,,,,12,,5.2
202,Nayagaadi Online Marketplace Pvt Ltd,Transportation & Logistics,"Logistics, Transporation, Technology",Transportaion > Online platform for Multibrand rural connect,"STPI-Orchid Techscape Incubation Center,
Cyber Park, No. 76 & 77, 6th Floor,
Electronics City Phase-1",Bangalore,560100,1,24,29-Oct-15,6.0,,,3,10.5,"Media Coverage, Elevate 100 winner 2017, IITB, top 20 startups pune",3,Early Tarction,,,,,,4.4
203,Leap Aeronautics,Aviation,"Logistics, Transporation, Technology",Aviation > Consumer Flight,,Bangalore,560016,,,1-Jan-19,2.8,4,,4,,,1,POC,,,,,,1.1
204,Astrome Technologies Pvt Ltd,Aerospace,smart city,Aerospace,"nd Floor, Entrepreneurship Centre Building,
Society for Innovation and Development (SID),
Indian Institute of Science",Bangalore,560012,2,22,20-May-15,6.4,35,187,4,4.333333333,"Media Coverage National Award  in the ‘Technology Start-ups Category’ (2018).

Astrome has received grant from US-India Science and Technology Endowment Fund (USISTEF) for developing technologies that provide low cost internet to rural and remote areas
US - India Science and Technology Endowment Fund

In 2016, we won the Most Promising Aerospace and Defence Startup Award given by NASSCOM and IESA for our pathbreaking work in satellite internet technologies
Most Promising Aerospace and Defense Startup Award by NASSCOM and IESA",3,Early Tarction,,01-Jan-18,,,,19.5
205,Net Next Solutions Pvt Ltd,AR/VR,Enterprise Solutions,AR/VR > Enterprise Solution > SEO ,Vidyaranyapura,Bangalore,560097,,,1-Jan-13,8.8,,,3,,,3,Early Tarction,,,,17,,3.2
206,Appriffy Digital IT Hub Pvt Ltd,Enterprise Solutions,HR tech,Enterprise Solution > Hiring,"No-27/14 2nd Floor, 1st Cross Tata Silk Form",Bangalore,560070,1,14,6-Sep-18,3.1,43,174,3,4,"Selected by Govt. Of India and IIM Calcutta Innovation Park Under Smart Fifty Solutions for India.
Recognized by Govt. Of India and Department of Industrial Policy and Promotion.
Recognized by Govt. Of Karnataka as one of the Innovative Technical Service Provider.
Selected as One of the Smart 75 Tech Products Developers which is Organized by Govt. Of India and Goa and in collaboration with Govt. Of Armenia.",3,Early Tarction,,,,,,17.9
207,DraftSpotting Technologies Pvt Ltd,AI,Enterprise Solutions,AI > Enterprise Solution > Legal Documents,"4th Floor, UrbanVault, 97, 17th Cross Road, Sector 4, HSR Layout",Bangalore,560102,1,19,19-Apr-17,4.5,29,127,3,7.333333333,"Finished Top 3 and won the People's Choice Awar, Selected in Top 3 and first Indian Company to get selected for the Finals of this Competition
,Global Winner in the Heavyweight Category, 
Winner of the 'Get in the Ring' challange organised by the SAP Startup Studio


Shortlisted for the Agami Prize 2018 for reshaping legal industry, law & justice in India


Nominated as the 'Tech Company To Watchout For",3,Early Traction,2.1,22-Feb-19,,7,700,29.4
208,FloatBot,AI,Enterprise Solutions,AI > Enterprise Solution > Chat Bot,NASSCOM-COE-DS&AI Diamond District,Bangalore,560008,1,14,1-Jan-17,4.8,10,50,4,,,4,Growth,,,,15,,8.4
209,Someshwara Software Pvt Ltd,Enterprise Solutions,Enterprise Solutions,,"ABAI, Nalapad Brigade Centre, Ground Floor,
Whitefield",Bangalore,560048,1,16,21-Nov-14,6.9,4,28,3,,,2,POC,,,,,,5.1
210,Bevywise Networks LLP,IoT Platform,Enterprise Solutions,IoT Platform > Mqtt Broker > Simulator ,"DERBI Foundation,
2nd Floor, A Block ,
Dayananda Sagar University Innovation Campus
Near KudluGate, Hosur Road",Bangalore,560068,1,20,1-Mar-17,4.6,13,96,4,,,4,Growth,,,,23,,13.3
211,Neunets Technology Pvt Ltd,AI,Enterprise Solutions,AI > Enterprise Solution > Advertsising Platform,"Kudlu Rd, above State Bank of Mysore, AECS Layout - A Block, AECS Layout, Singasandra",Bangalore,560068,1,21,19-Dec-16,4.8,5,33,3,,,2,POC,,,,,,5.8
212,Buymyev Technology Pvt Ltd,Transportation & Logistics,Two-wheelers & Smart cities,Transportation > EV,Basaveshwarnagar,Bangalore,560079,1,20,1-Jul-18,3.3,3,24,3,,,2,POC,,,,,,4.8
213,Ameliorate Biotech Pvt Ltd,Biotech,Enterprise Solutions,Biotech,"No.1213,BCCS Layout, Holiday Village Road, Vajarahalli , Kanakpura Road",Bangalore,560062,3,38,20-Oct-15,6.0,2,38,4,1,unconvention19,2,POC,,,,,,8.1
214,Udjan Energy Pvt Ltd (Olive Energy ),Cleantech,Cleantech,Cleantech > Hydrogen Fuel Storage and Generator,"Venugopal nagar, Nagasandra Post ",Bangalore,560073,,,29-Dec-17,3.8,,,,,,,,,,,,,0.4
215,Taxshe Services Pvt Ltd,Transportation & Logistics,Two-wheelers & Smart cities,Transportaion > Cab for Ladies,"26, ginserv, ca site no 1,
behind hotel leela palace
kodihalli, hal stage iii
",Bangalore,560008,1,39,13-Jan-15,6.8,4,51,3,,,3,Early Traction,,,,,,9.1
216,Catbus Infolabs Pvt Ltd(blowhorn),logistics,Enterprise Solutions,Logistics > Enterprise solution > Delivery,"3rd Floor, Enzyme Tech Park, Koramangala Industrial Layout,",Bangalore,560095,1,29,20-May-14,7.4,194,797,3,,,4,Growth,8.8,17-Sep-19,,,2633,127.3
217,AgilizTech Software Services,IT,Enterprise Solutions,IT > Enterprise Solution,"No. 07/3, Second Floor, 18th Main Road,
Jayanagar 9th Block",Bangalore,560041,1,17,10-Jun-15,6.4,48,205,3,5,agiliztech.com/awards-recognitions/,3,Early Traction,,,,16,,22.7
218,Aguai Solutions,IT,Enterprise Solutions,IT > Enterprise Solution ,,Bangalore,560103,1,44,25-Feb-13,8.6,6,60,4,4,"Media Coverage
ImageImage",3,Early Traction,,,,6,,11.5
219,Airaavat Technologies Private Limited,IT,Enterprise Solutions,IT > Enterprise Solution > Consultancy,"# 5, Sri Raja Rajeswari Layout
Behind DRDO Phase 2",Bangalore,560016,1,97,23-Jul-12,9.2,6,109,3,,,3,Early Traction,,,,,,19.3
220,Akasa Labs,IT,Enterprise Solutions,,"2040, 17th main,1st cross, HAL 2nd Stage,, Indiranagar",Bangalore,560008,1,11,30-Oct-14,7.0,5,27,4,,,3,Early Traction,,,,,,4.8
221,Altigreen Propulsion Labs,Automotive,Two-wheelers & Smart cities,Automotive > Electric Vehicles ,", B-74 5th Cross, Dyavasandra Industrial Estate, Whitefield Road, Mahadevpura",Bangalore,560048,1,64,8-Feb-13,8.7,24,152,4,7,"Altigreen was selected in the first cohort of the Rocket Space Mobility Tech, 
iotnext
IoTNext Awards, jointly organised by IESA & TiE Bangalore, chose Altigreen as one of the most promising startups in Automotive domain. Altigreen’s kit was recognized as a unique and innovative product in the Electronics and Semiconductor Industry.



Elecrama Startup Award: The biggest showcase of the world of electricity, ELECRAMA was organized in March 2018. Altigreen won the award while competing with a prestigious lineup of startups in power electronics, renewables, electric transportation, energy storage and automation.

Most-significant-innovation
Europe’s largest conference on printed electronics, IDTechEx 2016, awarded Altigreen with the Most Significant Innovation in Electric Vehicles in Berlin, Germany, judged by an independent panel of experts from the automobile industry.


MoveHack 2018: 7,500 individuals and 3,000 teams globally had registered for Govt. of India – NITI Aayog’s global mobility hackathon, MoveHack 2018. Altigreen was announced the Top 10 “Solve It” winner under the theme of multimodal commuter and freight mobility in cities.

Media Coverage",3,Early Traction,2,18-Oct-17,,,200,25.0
222,LYNK AmbuPod,Healthtech,smart city,HealthTech > Hospital On Wheels,"T1-1401, GM Infinite Daffodils,

Mallasandra, Hesaraghatta Main Road",Bangalore,560057,1,49,20-Feb-17,4.7,2,49,4,,,3,Early Traction,,,,,,9.7
223,Ampere Vehicles,Automotive,Two-wheelers & Smart cities,Automotive > Electric Vehicles ,"Survey No.19/3, 4th Floor, Bikasipura Main Road, JC Industrial Layout, Off Kanakapura Road",Bangalore,560062,1,15,2-Jun-08,13.4,73,303,3,,,4,Growth,2,08-Jul-15,,,200,34.1
224,Anak age,IT,Enterprise Solutions,IT > Enterprise Solution ,"#17, BTM 1st Stage
Ring Road",Bangalore,560029,2,60,19-Aug-13,8.2,13,100,3,,,3,Early Traction,,,,,,15.5
225,Analytics Valley,Blockchain,Enterprise Solutions,Blockchain > Enterprise Solution > Big Data,"#202, Vandana, Brookefield,
Kundalahalli",Bangalore,560037,1,38,18-Mar-15,6.6,14,182,4,,,3,Early Traction,,,,,,18.9
226,Anvaya Analytics,IT,Enterprise Solutions,IT > Enterprise Solution > Data Analytics,"57/1, Devarabisanahalli Main Road,
Devarabisanahalli,",Bangalore,560103,1,13,19-Mar-15,6.6,20,89,3,,,3,Early Traction,,01-Jan-19,,,,10.3
227,AppiVa Software,IT,Enterprise Solutions,IT > Enterprise Solution > Sales Automation,"GOK, NASSCOM Startup Warehouse, Lower Ground Floor, DD3, Diamond District ISRO, Colony, Domlur,",Bangalore,560008,1,23,28-Oct-16,5.0,7,47,3,,,1,Seed,0.07,28-Oct-16,,,,7.1
228,Artoo,Fintech,Enterprise Solutions,Fintech > Enterprise Solution > MSME,"3rd Floor, 275/B,
37th B Cross, 28th Main,
Jayanagar 9th Block,",Bangalore,560069,1,24,18-Aug-10,11.2,26,120,4,,,3,Early Traction,0.58,24-Mar-15,,,,14.6
229,AskSid.ai,AI,Enterprise Solutions,AI > Enterprise Solution > Converstional AI,"The Presidency, St. Marks Road",Bangalore,560001,1,43,15-Dec-16,4.8,12,83,4,,,3,Early Traction,,,,,,12.2
230,Atoll Sloutions,IoT Design,Enterprise Solutions,IoT Design > Enterprise Solution,"#229, 2nd Floor,  2A Main, 5th Cross,
New Thippasandra, HAL 3rd Stage",Bangalore,560075,1,29,21-Jul-14,7.2,19,101,4,5,https://www.atollsolutions.com/news,3,Early Traction,,,,10,,14.1
231,Avench systems,IT,Enterprise Solutions,,"Plot No. 10A, KIADB Industrial area, Electronic City Phase 2",Bangalore,560100,1,71,17-Jul-15,6.3,62,303,4,1,Avench Systems received the award for one of the best two startup companies in STPI pavillion at BangaloreITEbiz 2015 from Dr. Krishnaswamy Kasturirangan and Kris Gopalakrishnan.,3,Early Traction,,01-Jan-19,,9,,35.0
232,Avohi,IT,Enterprise Solutions,IT > Enterprise Solution > Blockchain,"Venus Buildings, 3rd floor,
Kalyana Mantapa road,
Jakkasandra Block,
Koramangala",Bangalore,560034,1,21,1-Jan-15,6.8,31,141,4,,,3,Early Traction,,,,15,,17.1
233,Azureiken Technologies Pvt Ltd,AI Analytics,Enterprise Solutions,Enterprise Solution > AI > Data Analytics,"135/3, Regus RMZ Infinity Level 1, Tower D, Municipal No. 3, Swami Vivekananda Rd",Bangalore,560016,,,8-Mar-12,9.6,,,,,,,,,,,,,1.0
234,Belazy,Wearable,"ADAS, Embedded, and IOT",Wearable > IoT,"Novel Tech Park, Kudlu Gate, Garvebhavi Palya",Bangalore,560068,3,11,19-May-17,4.4,10,43,4,5,"Winner, Elevate 2018, Govt of Karnataka
-Winner, Alibaba Cloud Challenge 2018(Bangalore City)
-3rd Winner, LES APAC Business Plan Competition for IP based startups
-Novel Startup Challenge 2018
-Best Hardware Startup at Forge, Coimbatore",3,Early Traction,,,0.5,,,6.6
235,Evobi Automations Pvt Ltd (bibox),Iot,"ADAS, Embedded, and IOT",IoT > Education,"29, Beratena Agrahara,
Next to Play Factory,
Hosur Road",Bangalore,560100,,,18-Apr-12,9.5,83,,,,,4,Growth ,0.53,17-Nov-15,,,321.89,13.7
236,Bio-man,Cleantech,smart city,CleanTech > Waste Management,"UAS Layout, Sanjaynagar",Bangalore,560094,1,18,21-Oct-16,5.0,1,18,3,,,2,POC,,,,,,4.2
237,Birth Venue,Blockchain,Enterprise Solutions,BlockChain > IT > Enterprise Solutions > Consultacy,"Numa Bengaluru, 46/1, Church St, Shanthala Nagar, Ashok Nagar, Cobalt Building",Bangalore,560001,3,8,12-Sep-18,3.1,7,32,3,5,https://birthvenue.in/,3,Early traction,,Boot Strapped,,10,,6.0
238,Mobisy Technologies Pvt. Ltd. (Bizom),Retail,Enterprise Solutions,Retail > Enterprise Solution ,"Sri Arunachaleshwara Building, Bellandur Main Rd, next to Sterling Suites, Adarsh Palm Retreat, Bellandur",Bangalore,560103,1,41,4-Feb-08,13.7,189,789,4,,,4,Growth,4.2,21-May-18,,500,2100,167.2
239,BlueChips,IT,Enterprise Solutions,,"# 20-21, Pattalamma Layout,
Hosur Main Road, Singasandra,",Bangalore,560068,,,30-Oct-85,36.0,,,,,,,,,,,,,3.6
240,Poncho Hospitality Pvt. Ltd (Box-It),logistics,Enterprise Solutions,Logistics > Food App ,"117, 27th Main Rd,
Sector 2, HSR Layout,",Bangalore,560102,3,29,30-Jun-12,9.3,497,2009,3,,,4,Growth,34.9,12-Dec-19,,Retail,8970,363.0
241,Bridgei2i Analytics Solutions (Surveyi2i),Analytics,Enterprise Solutions,Analytics > Enterprise Solution,"Umiya Business Bay, Tower 2, 2nd Floor, Cessna Business Park, Kadubeesanahalli, Outer Ring Road",Bangalore,560103,1,62,13-May-11,10.4,515,2110,3,,,4,Growth,,,,,11497,421.7
242,CardioTrack,Healthtech,AI,Healthtech > AI > Cardio Device,"NASSCOM CoE IoT
Lower Ground Floor, Diamond District,
Old Airport Road, Domlur,",Bangalore,560008,2,40,14-Feb-14,7.7,21,116,4,,,3,Early Traction,1,09-Mar-20,,16,,16.9
243,Cartisan,Automotive,Enterprise Solutions,Automotive > car servicing app,632/18-2 10th B Main Jayanagar,Bangalore,560011,3,20,1-Apr-14,7.5,20,96,3,,,3,Early Traction,,30-Jul-15,,,700,25.7
244,Hansa Customer Equity Pvt. Ltd.,Retail,Analytics,Retail > Analytics> Customer enagement,"Ground Floor
Indiqube Sigma. Site No 3/B
3rd Block, Koramangala",Bangalore,560034,1,50,27-Feb-08,13.6,310,1590,3,3.333333333,https://www.hansacequity.com/news-knowledge/cequity-in-media/,4,Growth,3.9,18-Jun-15,,,7558,291.9
245,Convergytics,IT,Enterprise Solutions,IT > Enterprise Solution > CRM > BI,"5/1, Gulmohar Enclave,
Opp. Sankara Eye Hospital,
Marathahalli",Bangalore,560037,1,59,13-May-13,8.4,84,383,4,2,https://convergytics.net/,4,Growth,,,,,181.8,44.1
246,Cropin Technologies,Agritech,"ADAS, Embedded, and IOT",Agritech > IoT,"#1021, 3rd Floor, 16th Main, BTM Layout 1st Stage",Bangalore,560029,1,14,26-Aug-10,11.1,181,734,4,,,4,Growth,13.5,19-Nov-18,,,610,81.0
247,DOERS - Online Vehicle Assistance,Transportation & Logistics,Two-wheelers & Smart cities,Transportaion > Two Wheelers > Repairing service,"945, 1ST FLOOR, 5TH MAIN, 21ST CROSS, SECTOR 7, HSR LAYOUT",Bangalore,560102,,,20-Dec-16,4.8,,,3,1.666666667,Media Coverage,3,Early Traction,,,,,,1.2
248,Edge Tensor,AI,Enterprise Solutions,AI > Enterprise Solution ,"2nd floor, Innova Pearl, 17, 1st Main Rd, KHB Colony, Koramangala Industrial Layout, Koramangala, ",Bangalore,560095,1,33,26-Mar-18,3.6,19,101,4,,,3,Early Traction,,04-Feb-19,,,,12.8
249,Eko Informatics Solution,IT,Enterprise Solutions,IT > Enterprise Solutions > Data analytics,"27/6, Union Street Cross, Off Cubbon Road",Bangalore,560001,1,19,29-Apr-10,11.5,5,35,4,,,4,Growth,,,,19,2182,52.3
250,GingerMind Technologies Pvt Ltd,AI,AI,AI > AR/VR,"#445 2nd Floor JKN Towers 16th Cross, 5th Main Rd,
Sector 6, HSR Layout,",Bangalore,560095,1,22,20-Aug-14,7.2,10,54,4,12,,3,Early Traction,,,,,,9.0
251,faast Help,IT,Enterprise Solutions,,,Bangalore,560001,3,7,26-Mar-16,5.6,2,14,4,,,3,Early Traction,,,,,,3.3
252,fasal,IoT Platform,Agritech,IoT > Agritech,"No.1678, 23rd Cross
27th Main Sector 1, HSR Layout",Bangalore,560102,1,13,11-Jan-18,3.8,26,61,4,1.666666667,Media Coverage,3,Early Traction,1.8,30-Oct-19,,,700,22.8
253,FieldEZ,Transportation & Logistics,Enterprise Solutions,Logistics > Enterprise Solution,"#8/2, Novel Office Central, 3rd Floor, Ulsoor Road, Off MG Road",Bangalore,560001,1,26,15-Nov-11,9.9,27,130,4,,,4,Growth,,,,16,776.8,32.6
254,Autozo Technologies Pvt Ltd(FirstU),Automotive,Enterprise Solutions,Automotive > Maintainence,"102, Eden Park, 20 Vittal Mallya Road",Bangalore,560001,1,20,28-Jun-16,5.3,13,64,3,,,3,Early Traction,,26-Nov-19,,,,8.6
255,Shubh Mani Solutions Private Limited,Transportation & Logistics,Enterprise Solutions,Transportation > Travel,"604, ETA, The Gardens, Tank Bund Road, Magadi Road",Bangalore,560023,1,10,24-Nov-15,5.9,,,,,,4,Growth,,,,,,2.1
256,Get Active,Healthtech,Enterprise Solutions,HealthTech > Enterprise Solution,"600, 2nd Cross Rd, Koramangala 3 Block",Bangalore,560034,1,92,19-Jun-09,12.3,17,148,3,,,4,Growth,,,,,,22.8
257,Gloinnt Solutions,IT,Enterprise Solutions,,"No. 49 & 50, 1st Floor, 3rd Cross,
Meganahalli, Kalyan Nagar,",Bangalore,560043,1,24,13-Apr-16,5.5,75,320,3,,,3,Early Traction,,,,,,31.3
258,Agstack Technologies Pvt. Ltd,IT,Enterprise Solutions,,"#51, 5th Floor, Leela Palace Road, Kodihalli,",Bangalore,560008,3,29,1-May-16,5.5,55,237,4,,,4,Growth,6,06-Aug-19,,,,25.5
259,Havstruck Solutions,Transportation & Logistics,smart city,Transportaion > Smart City,"104 (First floor), East Park Road, 8th Cross Malleshwaram",Bangalore,560003,1,29,10-May-16,5.4,5,41,4,,,3,Early Traction,,,,,,7.4
260,Headway.ai,HR,AI,HR > AI based Platform for Hiring,Indiranagar Near Flyover,Bangalore,560008,1,16,13-Oct-16,5.0,8,44,4,,,3,Early Traction,,,,,,6.5
261,Health5C Wellness Solutions Private Limited,Healthtech,smart city,Healthtech > Smart city > Healh screening app,"4/1, Patel Rama Reddy Road.
KR Colony, Domlur",Bangalore,560071,1,141,22-Dec-11,9.8,26,217,4,,,3,Early Traction,,,,,310.1,39.1
262,HealthMacro Technologies,Healthtech,SaaS,Healthtech > SAAS,"#147, 36th A Cross,
7th Main, 5th Block, Jayanagar,",Bangalore,560041,1,20,29-Oct-12,9.0,6,44,3,4,http://healthmacro.com/awards/,3,Early Traction,,,,27,,10.0
263,Highir Technologies,Transportation & Logistics,smart city,Transportaion > Smart city > Trip planning,"36/1, Arekempanahalli 1st Block Jayanagar",Bangalore,560027,1,20,10-Oct-16,5.0,,,4,,,3,Early Traction,,,,,,3.3
264,Hopon,Transportation & Logistics,Enterprise Solutions,Transportaion > Enterprise Solution > Employee Travel,"No 255, 1st Floor, 5th Main, 36th Cross, 4th Block,
Jayanagar",Bangalore,560011,1,40,9-Oct-13,8.0,20,104,3,,,2,Paid Poc,0.765,15-Jul-16,,3,,14.4
265,Hotify,IT,Enterprise Solutions,,Whitefield,Bangalore,560048,3,96,14-Jan-15,6.8,19,156,4,,,3,Early Traction,0.15,28-Dec-15,,,210,27.7
266,Ifuture Robotics,Robotics,Industry Automation,Robotics > Industry Automation,"221 Outer Ring Road, Banashankri 3rd Stage, ",Bangalore,560085,1,12,1-Jun-16,5.4,14,64,4,1.333333333,http://ifuturerobotics.com/blog.html,3,Early Traction,0.396,17-Jan-17,6,,1400,36.7
267,Immidart Technologies,IT,Enterprise Solutions,IT > Enterprise Solution,"Ferns Icon, Ground Floor,
Marathahalli Outer Ring Road,
Doddenakundi",Bangalore,560037,1,54,2-Jan-15,6.8,36,186,3,,,3,Early Traction,,,,,700,36.3
268,Impact Analytics,Retail,Analytics,Retail > Analytics,"6th Floor, Global Technology Park, Block C, Outer Ring Rd, Bellandur,",Bangalore,560103,3,84,1-Jan-15,6.8,217,928,4,,,3,Early Traction,0.75,31-Oct-16,,,3568,161.6
269,Inito,Healthtech,"ADAS, Embedded, and IOT",Healthtech > Fertility,"1st Floor, #285, 11th Main, Koramangala 4th Block,",Bangalore,560034,3,21,26-Jun-12,9.3,31,137,4,3,Media Coverage,3,Early Traction,2,18-Mar-19,,,,16.1
270,Scientist technologies,Smart city,,,"9th Fl, Prestige Towers, Residency Road",Bangalore,560025,1,9,10-Jun-16,5.4,4,15,4,2,,2,POC,,,,1,40,4.5
271,Impel Labs (Recotap),AI,Enterprise Solutions,AI > Enterprise solution > Marketting,"Green Bubbles, Hsr Layout,
Sector 6",Bangalore,560102,1,35,1-Jan-18,3.8,7,55,4,,,2,POC,0.15,01-Jan-18,,,,8.9
272,Bewgle,AI,Enterprise Solutions,AI > Enterprise Solution > Analytics,,Bangalore,560066,2,43,6-Dec-18,2.9,12,83,3,,,2,POC,,,,,,11.9
273,Clarisights,AI,Enterprise Solutions,AI > Enterprise Solution > BI,"211, PRESTIGE CENTER POINT CUNNINGHAM ROAD",Bangalore,560052,1,43,1-Oct-17,4.0,38,183,4,,,3,Early Traction,2.3,01-Dec-18,,,,21.2
274,Think Crazy,Smart Cities,,,"Prerna Towers, 563/1 Ranka colony, Bilekahalli, off BAnerghatta Rd",Bangalore,560076,,,,121.9,,,,,,,,,,,,,12.2
275,fingurus,Fintech,,,"167 KBH colony, 17th C Main Rd, 5th Block, Koramangala",Bangalore,560095,,,,121.9,,,,,,,,,,,,,12.2
276,VSM Software,Healthtech,Pharma,,"8, 1st Phase, 2nd Cross, 2nd Stage, High Tension Line Park Road |Chandra Lay out",Bangalore,560040,,,,121.9,,,,,,,,,,,,,12.2
277,Pixxel,Space,,Satellite Earth Imaging and Analytics,"Workbench Projects, Gupta Layout, Halasuru",Bangalore,560008,,,,121.9,,,,,,2,Prototype,,,,,,12.4
278,"Foradian Technologies (Fedena)
",Agritech,Enterprise Solutions,School / University management System,"#2569/665, J K Landmark,
27th Main Rd, Sector 1,
HSR Layout,",Bangalore,560102,,,29-Jan-09,12.7,61,,,,,4,Growth,,,,,210,10.1
279,Finnant Designs Pvt Ltd,Iot,"ADAS, Embedded, and IOT",IoT > Liquor Vending Machine,"7th Block, JP nagar 9th phase,",Bangalore,560062,1,25,17-Aug-16,5.2,8,53,4,,,2,Paid POC,,,,,,8.0
280,Avaamo,AI,,Conversational AI,81/37 Lavelle Road,Bangalore,560001,,,25-Jun-14,7.3,,,,,,,,23.5,,,,,3.1
281,Bioen,Smart city,Solid waste management,,"20, 2nd cross, 2nd main, RMV 2nd stage, Nagashettyhalli
",Bangalore,560094,,,,121.9,,,,1,Elevate100,,,,,,,,12.3
282,CongnitifAI,IT,Enterprise Tech,AI > CV > NLP,"909 lavelle, 9/1 lavelle road,
Bengaluru, Karnataka - 560001",Bangalore,560001,1,8,1-Dec-16,4.9,20,,4,,,1,Seed,,,,,,3.3
283,Anscer Robotics,Robotics,EnterpriseTech,Robotics > UGVs > Warehouse,"#16, 2nd floor, IKP EDEN, Bhuvanappa Layout, Tavarekere Main Road, Bengaluru -560029",Bangalore,560029,1,3,10-Jul-20,1.3,8,,3,1,hackthecrisis winner,2,POC,,,,,,1.6
284,Trithi Robotics,Robotics,Drones,IOT > Drones > Agritech,"TRITHI Robotics Pvt Ltd, 91springboard, Gopalkrishna Complex, Residency Road, Bengaluru",Bangalore,560076,1,13,06-Oct-17,4.0,10,,4,6,"A. DIPP-Govt. Of India – Certified.
B. Startup India Recognised.
C. Startup Karnataka Recognised.
D. Winner of Agriculture Grand Challenge 2018 – Ministry of Agriculture, GOI.
E. Winner of Atal Innovation Mission 2018 – Niti Aayog GOI.
F. Featured on National & International Media.",3,Early Traction,,,,2,,3.8
285,ifuture robotics,Robotics,Automation,Robotics > CV > AI," 221 Outer Ring Road, Banashankri 3rd Stage, Bangalore 560085
INDIA",Bangalore,560085,1,13,1-Jun-16,5.4,11,,4,5,"QDIC, Emrge50, QPrize, SAP startup social, Zurich Kickstart 2018",3,Early Traction,,,,,,3.7
286,VST Mobility Solutions,IIOT,Mobility,Vehicle Tracking,"82/3, Shop No.7, 1st Floor,
KTR Complex, Near Ayyappa Temple,
Madiwala, Bangalore, Karnataka  ",Bangalore,560068,1,6,7-Aug-15,6.2,40,,3,,,3,Early Traction,,,,,,4.7
287,sigsenz,AI,"ADAS, Embedded, and IOT",ADAS > CV > AI,"#1292, 32F Cross, 4th T Block, Jayanagar, Bengaluru - 560041",Bangalore,560041,1,38,29-Aug-18,3.1,15,,,,,2,POC,,,,,,5.4
288,Snehix,EdTech,"E-ink tablet, Classroom Software",Electronics,"Kasavanahalli Main Road, Bengaluru, Karnataka 560035, IN",Bangalore,560035,1,16,2-Jan-20,1.8,6,,3,2,"Elevate 2020, IoT Matrix 2020",2,POC,,,,,,2.9
